Year,Company ,Category,Market Cap(in B USD),Revenue,Gross Profit,Net Income,Earning Per Share,EBITDA,Share Holder Equity,Cash Flow from Operating,Cash Flow from Investing,Cash Flow from Financial Activities,Current Ratio,Debt/Equity Ratio,ROE,ROA,ROI,Net Profit Margin,Free Cash Flow per Share,Return on Tangible Equity,Number of Employees,Inflation Rate(in US)
2022,GOOG,IT,1144.35,282836,156633,59972,4.56,90770,256144,91495,-20298,-69757,2.378,0.0574,23.4134,16.4188,22.1426,21.2038,-0.3613,26.6424,190234,8.0028
2021,GOOG,IT,1910.26,257637,146698,76033,5.61,91155,251635,91652,-35523,-61362,2.9281,0.0589,30.2156,21.1633,28.5354,29.5117,1.7123,33.4561,156500,4.6979
2020,GOOG,IT,1179.4,182527,97795,40269,2.93,54921,222544,65124,-32773,-24408,3.0668,0.0626,18.0949,12.5992,17.0288,22.0619,0.843,20.1422,135301,1.2336
2019,GOOG,IT,917.82,161857,89961,34343,2.458,46012,201442,54520,-29491,-23209,3.3741,0.0226,17.0486,12.4472,16.6717,21.2181,0.5566,19.2033,118899,1.8122
2018,GOOG,IT,719.63,136819,77270,30736,2.185,36559,177628,47971,-28504,-13179,3.919,0.0226,17.3036,13.2032,16.9214,22.4647,-0.0705,19.5124,98771,2.4426
2017,GOOG,IT,726.47,110855,65272,12662,0.9,33093,152502,37091,-31401,-8298,5.1403,0.026,8.3028,6.4178,8.0922,11.4221,-0.151,9.5158,80110,2.1301
2016,GOOG,IT,530.84,90272,55134,19478,1.3925,29860,139036,36036,-31165,-8332,6.2908,0.0283,14.0093,11.6289,13.6237,21.577,0.6249,16.3323,72053,1.2616
2015,GOOG,IT,521.67,74989,46825,15826,1.142,24423,120331,26572,-23711,-4225,4.6667,0.0434,13.5859,11.0863,13.3643,21.1044,0.3054,16.2481,61814,0.1186
2014,GOOG,IT,354.75,66001,40310,14136,1.0285,21475,103860,23024,-21055,-2087,4.6878,0.0504,13.1138,10.5429,12.7185,21.4179,0.0463,16.2814,53600,1.6222
2013,GOOG,IT,371.53,55519,33526,12733,0.9395,19342,87309,18659,-13679,-857,4.5817,0.0601,15.0729,11.8644,14.6965,22.9345,-0.2373,18.8671,47756,1.4648
2012,GOOG,IT,230.54,46039,28863,10737,0.808,16796,71715,16619,-13056,1229,4.2166,0.0772,16.1096,12.3169,15.4652,23.3215,0.1539,21.512,53861,2.0693
2011,GOOG,IT,207.65,37905,24717,9737,0.744,13593,58145,14565,-19041,807,5.9192,0.0723,16.7461,13.4167,15.9281,25.6879,0.3039,19.7822,32467,3.1568
2010,GOOG,IT,188.54,29321,18904,8505,0.6578,11777,46241,11081,-10680,3050,4.1579,0.0749,18.3928,14.7016,18.3928,29.0065,-0.1195,21.8407,24400,1.64
2009,GOOG,IT,195.27,23651,14807,6520,0.5103,9836,36004,9316,-8019,233,10.6178,0,18.1091,16.1,18.1091,27.5675,0.6657,21.4997,19835,-0.3555
